time,station,direction,buses
24072,X13,0,"(2, 2)"
24072,X03,0,"(7, 7)"
24073,X03,0,"(7, 7)"
24073,X13,0,"(2, 2)"
24073,X20,0,"(6, 6)"
24073,X16,0,"(4, 4)"
24074,X16,0,"(4, 4)"
24074,X20,0,"(6, 6)"
24074,X03,0,"(7, 7)"
24075,X03,0,"(7, 7)"
24075,X16,0,"(4, 4)"
24076,X03,0,"(7, 7)"
24076,X16,0,"(4, 4)"
24077,X03,0,"(7, 7)"
24077,X16,0,"(4, 4)"
24078,X03,0,"(7, 7)"
24078,X16,0,"(4, 4)"
24079,X16,0,"(4, 4)"
24079,X03,0,"(7, 7)"
24080,X16,0,"(4, 4)"
24081,X16,0,"(4, 4)"
24082,X16,0,"(4, 4)"
24083,X16,0,"(4, 4)"
24084,X16,0,"(4, 4)"
24084,X18,1,"(10, 10)"
24085,X18,1,"(10, 10)"
24085,X16,0,"(4, 4)"
24086,X16,0,"(4, 4)"
24086,X18,1,"(10, 10)"
24087,X18,1,"(10, 10)"
24087,X17,1,"(12, 12)"
24087,X16,0,"(4, 4)"
24088,X18,1,"(10, 10)"
24088,X16,0,"(4, 4)"
24088,X17,1,"(12, 12)"
24089,X18,1,"(10, 10)"
24089,X16,0,"(4, 4)"
24089,X17,1,"(12, 12)"
24090,X18,1,"(10, 10)"
24090,X17,1,"(12, 12)"
24090,X16,0,"(4, 4)"
24091,X18,1,"(10, 10)"
24091,X17,1,"(12, 12)"
24091,X16,0,"(4, 4)"
24092,X17,1,"(12, 12)"
24092,X18,1,"(10, 10)"
24092,X16,0,"(4, 4)"
24093,X17,1,"(12, 12)"
24093,X18,1,"(10, 10)"
24093,X16,0,"(4, 4)"
24094,X18,1,"(10, 10)"
24094,X17,1,"(12, 12)"
24095,X18,1,"(10, 10)"
24095,X17,1,"(12, 12)"
24096,X18,1,"(10, 10)"
24097,X18,1,"(10, 10)"
24098,X06,0,"(11, 11)"
24099,X06,0,"(11, 11)"
24100,X06,0,"(11, 11)"
24101,X06,0,"(11, 11)"
24102,X06,0,"(11, 11)"
24103,X06,0,"(11, 11)"
24104,X06,0,"(11, 11)"
24105,X06,0,"(11, 11)"
24106,X14,1,"(13, 13)"
24106,X06,0,"(11, 11)"
24107,X14,1,"(13, 13)"
24107,X06,0,"(11, 11)"
24108,X14,1,"(13, 13)"
24108,X06,0,"(11, 11)"
24109,X14,1,"(13, 13)"
24109,X06,0,"(11, 11)"
24110,X14,1,"(13, 13)"
24111,X14,1,"(13, 13)"
24112,X14,1,"(13, 13)"
24113,X14,1,"(13, 13)"
24114,X14,1,"(13, 13)"
24115,X14,1,"(13, 13)"
24116,X14,1,"(13, 13)"
24117,X14,1,"(13, 13)"
24118,X14,1,"(13, 13)"
24119,X14,1,"(13, 13)"
24120,X14,1,"(13, 13)"
24121,X14,1,"(13, 13)"
24122,X14,1,"(13, 13)"
24123,X14,1,"(13, 13)"
24125,X10,0,"(0, 0)"
24126,X04,1,"(3, 3)"
24126,X10,0,"(0, 0)"
24127,X10,0,"(0, 0)"
24127,X04,1,"(3, 3)"
24128,X10,0,"(0, 0)"
24128,X04,1,"(3, 3)"
24129,X10,0,"(0, 0)"
24129,X04,1,"(3, 3)"
24130,X04,1,"(3, 3)"
24130,X10,0,"(0, 0)"
24131,X10,0,"(0, 0)"
24131,X04,1,"(3, 3)"
24132,X04,1,"(3, 3)"
24132,X10,0,"(0, 0)"
24133,X04,1,"(3, 3)"
24133,X10,0,"(0, 0)"
24134,X10,0,"(0, 0)"
24134,X04,1,"(3, 3)"
24135,X10,0,"(0, 0)"
24135,X04,1,"(3, 3)"
24136,X10,0,"(0, 0)"
24136,X04,1,"(3, 3)"
24137,X10,0,"(0, 0)"
24137,X04,1,"(3, 3)"
24138,X10,0,"(0, 0)"
24138,X12,0,"(2, 2)"
24139,X10,0,"(0, 0)"
24139,X12,0,"(2, 2)"
24140,X10,0,"(0, 0)"
24140,X12,0,"(2, 2)"
24141,X12,0,"(2, 2)"
24142,X12,0,"(2, 2)"
24143,X12,0,"(2, 2)"
24144,X12,0,"(2, 2)"
24145,X12,0,"(2, 2)"
24146,X12,0,"(2, 2)"
24147,X12,0,"(2, 2)"
24148,X12,0,"(2, 2)"
24149,X12,0,"(2, 2)"
24150,X19,1,"(10, 10)"
24150,X12,0,"(2, 2)"
24151,X19,1,"(10, 10)"
24151,X12,0,"(2, 2)"
24152,X19,1,"(10, 10)"
24152,X12,0,"(2, 2)"
24153,X12,0,"(2, 2)"
24153,X02,0,"(7, 7)"
24153,X19,1,"(10, 10)"
24154,X02,0,"(7, 7)"
24154,X19,1,"(10, 10)"
24155,X02,0,"(7, 7)"
24155,X19,1,"(10, 10)"
24156,X02,0,"(7, 7)"
24156,X08,1,"(1, 1)"
24156,X19,1,"(10, 10)"
24157,X08,1,"(1, 1)"
24157,X19,1,"(10, 10)"
24157,X02,0,"(7, 7)"
24158,X02,0,"(7, 7)"
24158,X08,1,"(1, 1)"
24158,X15,0,"(4, 4)"
24158,X19,1,"(10, 10)"
24159,X08,1,"(1, 1)"
24159,X19,1,"(10, 10)"
24159,X15,0,"(4, 4)"
24159,X02,0,"(7, 7)"
24160,X15,0,"(4, 4)"
24160,X08,1,"(1, 1)"
24160,X19,0,"(6, 6)"
24160,X11,1,"(14, 14)"
24160,X19,1,"(10, 10)"
24160,X02,0,"(7, 7)"
24161,X19,1,"(10, 10)"
24161,X11,1,"(14, 14)"
24161,X02,0,"(7, 7)"
24161,X15,0,"(4, 4)"
24161,X19,0,"(6, 6)"
24161,X08,1,"(1, 1)"
24162,X15,0,"(4, 4)"
24162,X19,0,"(6, 6)"
24162,X08,1,"(1, 1)"
24162,X11,1,"(14, 14)"
24162,X02,0,"(7, 7)"
24163,X08,1,"(1, 1)"
24163,X11,1,"(14, 14)"
24163,X19,0,"(6, 6)"
24163,X15,0,"(4, 4)"
24163,X02,0,"(7, 7)"
24164,X02,0,"(7, 7)"
24164,X19,0,"(6, 6)"
24164,X15,0,"(4, 4)"
24164,X11,1,"(14, 14)"
24164,X08,1,"(1, 1)"
24165,X02,0,"(7, 7)"
24165,X19,0,"(6, 6)"
24165,X11,1,"(14, 14)"
24165,X15,0,"(4, 4)"
24165,X08,1,"(1, 1)"
24166,X11,1,"(14, 14)"
24166,X02,0,"(7, 7)"
24166,X19,0,"(6, 6)"
24167,X11,1,"(14, 14)"
24167,X19,0,"(6, 6)"
24167,X02,0,"(7, 7)"
24168,X19,0,"(6, 6)"
24168,X02,0,"(7, 7)"
24168,X11,1,"(14, 14)"
24169,X19,0,"(6, 6)"
24169,X02,0,"(7, 7)"
24169,X18,1,"(12, 12)"
24169,X11,1,"(14, 14)"
24170,X11,1,"(14, 14)"
24170,X19,0,"(6, 6)"
24170,X18,1,"(12, 12)"
24170,X02,0,"(7, 7)"
24171,X02,0,"(7, 7)"
24171,X19,0,"(6, 6)"
24171,X18,1,"(12, 12)"
24171,X11,1,"(14, 14)"
24172,X02,0,"(7, 7)"
24172,X11,1,"(14, 14)"
24172,X18,1,"(12, 12)"
24172,X19,0,"(6, 6)"
24173,X19,0,"(6, 6)"
24173,X02,0,"(7, 7)"
24173,X11,1,"(14, 14)"
24173,X05,0,"(9, 11)"
24173,X18,1,"(12, 12)"
24174,X05,0,"(9, 11, 11)"
24174,X19,0,"(6, 6)"
24174,X18,1,"(12, 12)"
24175,X18,1,"(12, 12)"
24175,X05,0,"(9, 11, 11)"
24175,X19,0,"(6, 6)"
24176,X05,0,"(9, 11, 11)"
24176,X19,0,"(6, 6)"
24176,X18,1,"(12, 12)"
24177,X05,0,"(9, 11, 11)"
24177,X18,1,"(12, 12)"
24177,X19,0,"(6, 6)"
24178,X19,0,"(6, 6)"
24178,X05,0,"(9, 11, 11)"
24178,X18,1,"(12, 12)"
24179,X05,0,"(9, 11, 11)"
24179,X19,0,"(6, 6)"
24179,X18,1,"(12, 12)"
24180,X19,0,"(6, 6)"
24180,X05,0,"(9, 11, 11)"
24181,X19,0,"(6, 6)"
24181,X05,0,"(9, 11, 11)"
24182,X19,0,"(6, 6)"
24182,X05,0,"(9, 11, 11)"
