time,station,direction,buses
5440,X20,1,"(5, 5)"
5441,X08,0,"(10, 10)"
5441,X20,1,"(5, 5)"
5442,X20,1,"(5, 5)"
5442,X08,0,"(10, 10)"
5443,X08,0,"(10, 10)"
5443,X20,1,"(5, 5)"
5444,X20,1,"(5, 5)"
5444,X08,0,"(10, 10)"
5445,X08,0,"(10, 10)"
5445,X20,1,"(5, 5)"
5446,X08,0,"(10, 10)"
5447,X08,0,"(10, 10)"
5448,X08,0,"(10, 10)"
5449,X08,0,"(10, 10)"
5450,X08,0,"(10, 10)"
5451,X08,0,"(10, 10)"
5452,X08,0,"(10, 10)"
5452,X01,1,"(0, 0)"
5453,X08,0,"(10, 10)"
5453,X01,1,"(0, 0)"
5454,X01,1,"(0, 0)"
5454,X08,0,"(10, 10)"
5455,X08,0,"(10, 10)"
5455,X01,1,"(0, 0)"
5456,X01,1,"(0, 0)"
5456,X08,0,"(10, 10)"
5457,X08,0,"(10, 10)"
5457,X01,1,"(0, 0)"
5458,X08,0,"(10, 10)"
5458,X01,1,"(0, 0)"
5459,X08,0,"(10, 10)"
5459,X01,1,"(0, 0)"
5460,X01,1,"(0, 0)"
5460,X18,1,"(7, 7)"
5461,X01,1,"(0, 0)"
5461,X18,1,"(7, 7)"
5462,X18,1,"(7, 7)"
5462,X01,1,"(0, 0)"
5462,X12,0,"(12, 12)"
5463,X18,1,"(7, 7)"
5463,X01,1,"(0, 0)"
5463,X12,0,"(12, 12)"
5464,X12,0,"(12, 12)"
5464,X18,1,"(7, 7)"
5464,X01,1,"(0, 0)"
5465,X18,1,"(7, 7)"
5465,X01,1,"(0, 0)"
5465,X12,0,"(12, 12)"
5466,X12,0,"(12, 12)"
5466,X18,1,"(7, 7)"
5466,X01,1,"(0, 0)"
5467,X18,1,"(7, 7)"
5467,X01,1,"(0, 0)"
5467,X12,0,"(12, 12)"
5468,X01,1,"(0, 0)"
5468,X18,1,"(7, 7)"
5468,X12,0,"(12, 12)"
5469,X12,0,"(12, 12)"
5469,X18,1,"(7, 7)"
5469,X01,1,"(0, 0)"
5470,X18,1,"(7, 7)"
5470,X01,1,"(0, 0)"
5470,X12,0,"(12, 12)"
5471,X01,1,"(0, 0)"
5471,X18,1,"(7, 7)"
5471,X12,0,"(12, 12)"
5472,X18,1,"(7, 7)"
5472,X12,0,"(12, 12)"
5473,X18,1,"(7, 7)"
5473,X12,0,"(12, 12)"
5474,X18,1,"(7, 7)"
5474,X12,0,"(12, 12)"
5475,X18,1,"(7, 7)"
5475,X12,0,"(12, 12)"
5476,X12,0,"(12, 12)"
5477,X12,0,"(12, 12)"
5489,X12,1,"(9, 9)"
5490,X12,1,"(9, 9)"
5491,X12,1,"(9, 9)"
5492,X12,1,"(9, 9)"
5493,X12,1,"(9, 9)"
5494,X12,1,"(9, 9)"
5494,X05,1,"(2, 2)"
5495,X05,1,"(2, 2)"
5495,X12,1,"(9, 9)"
5496,X12,1,"(9, 9)"
5496,X05,1,"(2, 2)"
5497,X05,1,"(2, 2)"
5497,X12,1,"(9, 9)"
5498,X12,1,"(9, 9)"
5498,X05,1,"(2, 2)"
5499,X05,1,"(2, 2)"
5499,X12,1,"(9, 9)"
5500,X05,1,"(2, 2)"
5500,X12,1,"(9, 9)"
5501,X12,1,"(9, 9)"
5501,X05,1,"(2, 2)"
5502,X12,1,"(9, 9)"
5502,X05,1,"(2, 2)"
5503,X05,1,"(2, 2)"
5504,X05,1,"(2, 2)"
5505,X05,1,"(2, 2)"
5506,X05,1,"(2, 2)"
5507,X05,1,"(2, 2)"
5508,X05,1,"(2, 2)"
5509,X05,1,"(2, 2)"
5510,X15,0,"(1, 1)"
5511,X15,0,"(1, 1)"
5512,X15,0,"(1, 1)"
5513,X15,0,"(1, 1)"
5514,X18,0,"(13, 13)"
5514,X15,0,"(1, 1)"
5515,X18,0,"(13, 13)"
5515,X15,0,"(1, 1)"
5516,X15,0,"(1, 1)"
5516,X18,0,"(13, 13)"
5517,X18,0,"(13, 13)"
5517,X15,0,"(1, 1)"
5518,X18,0,"(13, 13)"
5518,X07,0,"(10, 10)"
5518,X15,0,"(1, 1)"
5519,X18,0,"(13, 13)"
5519,X07,0,"(10, 10)"
5519,X15,0,"(1, 1)"
5520,X07,0,"(10, 10)"
5520,X18,0,"(13, 13)"
5520,X15,0,"(1, 1)"
5521,X07,0,"(10, 10)"
5521,X18,0,"(13, 13)"
5521,X15,0,"(1, 1)"
