traveling_time,waiting_time,headway
901,247,-62.01000000000204
311,187,-80.01000000000204
1855,167,-140.01000000000204
460,152,-166.0
858,132,-140.0
1117,52,-158.0
1117,12,-331.0
279,343,-330.0
873,323,-401.0
107,303,-407.0
1651,263,-407.0
1146,203,-388.0
1326,123,-385.0
809,83,-391.0
1894,83,-411.0
1524,337,-388.0
1126,277,-400.0
732,237,-574.0
246,157,-601.0
1382,77,6.989999999997963
1976,357,26.989999999997963
371,317,24.989999999997963
592,317,32.98999999999796
371,257,173.0
957,217,167.0
241,137,119.0
371,117,125.0
371,77,184.0
957,77,198.0
957,57,125.0
148,337,150.0
148,277,138.0
873,237,93.0
329,217,114.0
1156,177,134.0
1315,157,125.0
1481,157,126.0
422,57,124.0
131,343,131.0
423,283,-16.010000000002037
1756,263,-18.010000000002037
131,223,-4.010000000002037
423,203,-4.010000000002037
296,163,-47.01000000000204
1416,143,-41.01000000000204
1607,103,-66.0
1332,63,-94.0
1607,43,-96.0
2116,23,-124.0
1607,3,-120.0
1697,364,-124.0
1639,264,-175.0
1639,144,-293.0
864,124,-321.0
1538,124,-334.0
1538,124,-330.0
759,84,-346.0
759,24,-336.0
1124,344,-353.0
675,224,29.989999999997963
1200,204,173.98999999999796
1616,184,265.0
258,164,426.0
461,164,434.0
1616,144,405.0
109,252,525.0
1410,132,568.0
1364,224,553.0
1364,204,513.0
1737,104,491.0
392,211,496.0
1561,51,471.0
1851,352,479.0
710,292,507.0
995,232,524.0
400,192,539.0
151,172,252.0
710,172,299.0
1851,172,328.0
400,32,-4.010000000002037
1618,263,-14.010000000002037
932,243,-41.01000000000204
932,123,-70.01000000000204
307,83,-58.01000000000204
597,43,-81.0
251,311,-140.0
251,271,-166.0
600,211,-260.0
865,211,-324.0
1013,211,-306.0
72,111,-308.0
1388,91,-331.0
1168,31,-329.0
662,11,-369.0
1761,131,-370.0
1119,111,-376.0
1945,111,-387.0
659,71,-379.0
1279,31,-473.0
1761,11,-6.010000000002037
425,327,59.98999999999796
605,287,79.98999999999796
971,267,89.98999999999796
340,207,195.98999999999796
278,127,199.98999999999796
425,87,219.98999999999796
1263,67,225.98999999999796
267,297,184.98999999999796
267,257,172.98999999999796
417,257,168.98999999999796
663,257,177.98999999999796
267,237,184.98999999999796
326,177,154.98999999999796
1430,137,143.98999999999796
191,77,127.98999999999796
1210,57,121.98999999999796
1713,332,134.98999999999796
1188,312,148.98999999999796
1188,272,127.98999999999796
1273,192,3.990000000000009
591,271,50.99000000000001
1042,271,39.99000000000001
455,251,31.99000000000001
1750,251,29.99000000000001
1991,231,20.0
455,191,46.0
1374,191,46.0
591,11,92.0
1478,303,134.0
197,243,110.0
1302,243,133.0
1040,223,146.0
1692,223,97.0
860,203,103.0
548,83,106.0
1495,363,113.0
1344,243,139.0
1566,243,105.0
1201,223,136.0
1080,203,-14.010000000000218
1781,183,-14.010000000000218
847,123,56.98999999999978
1201,123,31.0
942,103,7.0
1566,103,1.0
426,207,71.0
893,147,128.0
217,30,16.0
1018,334,15.0
1285,234,28.0
952,194,17.0
1162,174,59.0
1464,54,-14.0
524,364,-178.0
524,244,-36.0
1108,184,9.0
1176,164,7.0
1688,164,59.0
364,219,130.0
982,99,-12.010000000000218
1685,79,-8.010000000000218
1341,231,-20.01000000000022
221,111,-34.01000000000022
831,111,-3.0100000000002183
103,346,-32.0
395,326,-47.0
245,206,-37.0
245,126,-54.0
1377,66,11.0
791,314,13.0
1459,174,-43.0
791,114,-179.0
1401,114,-104.0
1538,94,-142.0
320,14,-58.0
884,264,-5.0
169,184,-23.0
538,388,143.0
746,248,156.0
362,228,-36.01000000000022
1134,208,-43.01000000000022
1212,168,-90.01000000000022
746,128,-100.01000000000022
746,68,-77.01000000000022
1376,237,-50.0
848,197,-61.0
589,177,-103.0
589,157,-74.0
258,77,-15.0
91,37,-36.0
173,351,-71.0
337,311,-69.0
1344,311,-40.0
80,231,-40.0
1537,211,-34.0
255,91,-93.0
1263,31,-62.0
1464,111,-115.0
1706,91,-166.0
248,31,32.98999999999978
82,342,42.98999999999978
1432,342,-39.01000000000022
782,262,-57.01000000000022
389,42,-32.0
1061,2,-36.0
1574,2,26.0
1121,319,-17.0
1016,159,27.0
1121,119,-56.0
187,99,-36.0
760,99,39.0
1121,79,40.0
760,59,72.0
1123,241,60.0
1238,161,103.0
1311,141,42.0
169,81,27.0
1019,396,-3.0
389,256,-32.0
742,256,126.98999999999978
1534,236,128.98999999999978
459,96,144.98999999999978
66,165,290.0
311,239,305.0
1331,159,327.0
74,99,308.0
1756,59,301.0
981,19,313.0
535,345,288.0
1024,325,363.0
461,225,311.0
1754,45,363.0
991,341,352.0
819,301,350.0
217,201,353.0
76,101,353.0
307,101,327.0
1104,61,315.0
150,311,334.0
304,311,7.989999999999782
304,311,5.989999999999782
928,311,30.98999999999978
395,191,51.98999999999978
1189,191,99.0
1382,111,100.0
1709,111,124.0
422,256,137.0
1558,216,133.0
492,196,92.0
828,76,111.0
810,331,121.0
1007,231,221.0
422,191,252.0
160,171,249.0
1440,151,265.0
594,131,231.0
656,91,254.0
887,276,267.0
413,236,264.0
887,176,21.9900000000016
740,116,5.990000000001601
998,116,-8.0099999999984
998,116,23.0
321,329,-9.0
1592,309,-13.0
321,249,123.0
1067,249,152.0
1592,229,146.0
533,209,10.0
666,209,16.0
136,109,52.0
461,109,33.0
1147,109,31.0
1710,109,-16.0
1244,282,-7.0
626,102,-8.0
737,42,7.0
78,22,23.0
820,233,-26.0
1599,93,-14.0099999999984
312,33,56.9900000000016
595,13,46.9900000000016
443,370,52.0
758,250,73.0
1462,250,76.0
1115,190,79.0
89,70,17.0
1412,219,-35.0
1029,199,-74.0
111,139,-71.0
828,79,-137.0
749,286,-168.0
1906,226,-156.0
1460,186,-137.0
956,126,-145.0
1282,126,-184.0
1058,86,-182.0
1058,46,-208.0
1642,503,-399.0
264,463,15.9900000000016
587,383,27.9900000000016
1642,383,62.9900000000016
868,343,39.9900000000016
1642,323,41.0
1782,323,86.0
1414,303,57.0
1184,263,7.0
459,243,20.0
1642,243,-15.0
587,223,-231.0
106,203,-186.0
459,103,-200.0
775,103,-210.0
1414,83,-157.0
587,63,-166.0
1081,63,-108.0
1184,43,-247.0
1414,23,-294.0
963,3,-309.0
2050,202,-5.009999999998399
140,162,15.9900000000016
