run,bus_id,station,time,duration,direction
1,1,X09,6948,58,0
1,5,X15,7006,42,0
1,13,X18,7054,56,1
1,6,X06,7057,55,1
1,1,X08,7081,59,0
1,0,X16,7134,46,1
1,6,X07,7178,49,1
1,1,X07,7204,59,0
1,5,X12,7289,59,0
1,7,X15,7293,55,0
1,5,X11,7441,59,0
1,4,X13,7512,51,1
1,5,X10,7576,58,0
1,11,X19,7591,56,0
1,1,X04,7626,42,0
1,0,X20,7642,58,1
1,8,X09,7732,46,1
1,9,X14,7765,44,0
1,5,X09,7786,59,0
1,8,X10,7847,52,1
1,5,X08,7918,58,0
1,5,X07,8054,57,0
1,14,X02,8138,53,1
1,7,X08,8194,58,0
1,0,X20,8209,44,0
1,8,X13,8228,53,1
1,10,X11,8312,44,1
1,7,X07,8337,56,0
1,13,X15,8370,41,0
1,9,X07,8637,56,0
1,8,X17,8715,59,1
1,10,X14,8746,46,1
1,1,X05,8812,55,1
1,9,X06,8836,59,0
1,13,X11,8848,59,0
1,8,X18,8870,58,1
1,4,X20,8907,57,0
1,14,X09,8916,50,1
1,1,X06,8931,56,1
1,9,X05,8963,54,0
1,13,X10,8989,56,0
1,8,X19,9015,58,1
1,4,X19,9048,53,0
1,12,X14,9054,43,1
1,12,X15,9168,48,1
1,5,X02,9205,44,1
1,11,X05,9244,54,0
1,11,X04,9376,58,0
1,3,X07,9396,52,1
1,0,X09,9474,54,0
1,11,X03,9529,52,0
1,12,X18,9616,56,1
1,0,X07,9739,48,0
1,12,X19,9758,53,1
1,1,X13,9764,59,1
1,11,X02,9764,52,0
1,8,X19,9781,54,0
1,1,X14,9887,46,1
1,12,X20,9901,59,1
1,7,X05,9920,46,1
1,1,X15,10008,57,1
1,13,X02,10014,58,0
1,6,X13,10038,51,0
1,13,X01,10146,58,0
1,11,X02,10270,56,1
1,5,X13,10458,49,1
1,10,X16,10459,53,0
1,9,X07,10464,51,1
1,4,X06,10568,53,0
1,8,X10,10670,54,0
1,13,X03,10717,52,1
1,8,X09,10834,59,0
1,13,X04,10840,57,1
1,14,X19,10861,41,0
1,5,X17,10863,59,1
1,8,X08,10955,59,0
1,13,X05,10963,43,1
1,5,X18,10994,59,1
1,9,X12,10998,43,1
1,11,X09,11012,53,1
1,6,X04,11089,48,0
1,8,X07,11098,59,0
1,11,X10,11175,44,1
1,5,X19,11184,42,1
1,8,X06,11233,58,0
1,6,X03,11237,52,0
1,2,X01,11344,51,1
1,8,X05,11363,58,0
1,2,X02,11474,58,1
1,8,X04,11477,57,0
1,6,X01,11502,47,0
1,2,X03,11600,58,1
1,9,X17,11612,54,1
1,14,X12,11638,59,0
1,4,X01,11645,53,1
1,2,X04,11745,49,1
1,4,X02,11768,58,1
1,14,X11,11810,58,0
1,4,X03,11916,55,1
1,3,X16,11924,44,0
1,14,X10,11967,54,0
1,6,X01,11969,52,1
1,4,X04,12040,41,1
1,10,X02,12093,58,0
1,3,X14,12151,52,0
1,4,X05,12151,46,1
1,6,X03,12218,50,1
1,1,X10,12260,48,0
1,6,X04,12355,53,1
1,1,X09,12376,59,0
1,7,X18,12438,44,0
1,6,X05,12465,58,1
1,1,X08,12493,58,0
1,11,X20,12498,59,1
1,13,X17,12500,53,1
1,12,X01,12534,45,0
1,0,X16,12627,59,1
1,1,X07,12631,44,0
1,6,X06,12635,45,1
1,8,X04,12686,49,1
1,10,X01,12713,59,1
1,0,X17,12752,58,1
1,9,X18,12764,41,0
1,3,X08,12808,53,0
1,14,X01,12864,43,0
1,0,X18,12881,58,1
