time,station,direction,buses
40176,X05,1,"(4, 4)"
40176,X03,0,"(10, 10)"
40177,X05,1,"(4, 4)"
40177,X03,0,"(10, 10)"
40178,X05,1,"(4, 4)"
40178,X05,0,"(12, 12)"
40178,X03,0,"(10, 10)"
40179,X03,0,"(10, 10)"
40179,X05,1,"(4, 4)"
40179,X05,0,"(12, 12)"
40180,X03,0,"(10, 10)"
40180,X05,1,"(4, 4)"
40180,X05,0,"(12, 12)"
40181,X05,1,"(4, 4)"
40181,X03,0,"(10, 10)"
40181,X05,0,"(12, 12)"
40182,X12,1,"(0, 0)"
40182,X03,0,"(10, 10)"
40182,X05,0,"(12, 12)"
40183,X12,1,"(0, 0)"
40183,X11,0,"(1, 1)"
40183,X05,0,"(12, 12)"
40183,X03,0,"(10, 10)"
40184,X11,0,"(1, 1)"
40184,X05,0,"(12, 12)"
40184,X03,0,"(10, 10)"
40184,X12,1,"(0, 0)"
40185,X11,0,"(1, 1)"
40185,X05,0,"(12, 12)"
40185,X03,0,"(10, 10)"
40185,X12,1,"(0, 0)"
40186,X11,0,"(1, 1)"
40186,X05,0,"(12, 12)"
40186,X12,1,"(0, 0)"
40187,X05,0,"(12, 12)"
40187,X11,0,"(1, 1)"
40187,X12,1,"(0, 0)"
40188,X05,0,"(12, 12)"
40188,X11,0,"(1, 1)"
40188,X12,1,"(0, 0)"
40189,X11,0,"(1, 1)"
40189,X12,1,"(0, 0)"
40189,X05,0,"(12, 12)"
40190,X11,0,"(1, 1)"
40190,X12,1,"(0, 0)"
40190,X05,0,"(12, 12)"
40191,X11,0,"(1, 1)"
40191,X12,1,"(0, 0)"
40191,X05,0,"(12, 12)"
40192,X12,1,"(0, 0)"
40192,X05,0,"(12, 12)"
40192,X11,0,"(1, 1)"
40193,X05,0,"(12, 12)"
40193,X11,0,"(1, 1)"
40193,X12,1,"(0, 0)"
40194,X05,0,"(12, 12)"
40194,X11,0,"(1, 1)"
40194,X12,1,"(0, 0)"
40195,X11,0,"(1, 1)"
40195,X05,0,"(12, 12)"
40195,X12,1,"(0, 0)"
40196,X11,0,"(1, 1)"
40196,X05,0,"(12, 12)"
40196,X12,1,"(0, 0)"
40197,X11,0,"(1, 1)"
40197,X05,0,"(12, 12)"
40197,X12,1,"(0, 0)"
40198,X12,1,"(0, 0)"
40198,X05,0,"(12, 12)"
40198,X11,0,"(1, 1)"
40199,X05,0,"(12, 12)"
40199,X11,0,"(1, 1)"
40199,X12,1,"(0, 0)"
40200,X11,0,"(1, 1)"
40200,X05,0,"(12, 12)"
40200,X12,1,"(0, 0)"
40201,X05,0,"(12, 12)"
40201,X11,0,"(1, 1)"
40201,X12,1,"(0, 0)"
40202,X05,0,"(12, 12)"
40202,X11,0,"(1, 1)"
40202,X12,1,"(0, 0)"
40203,X12,1,"(0, 0)"
40203,X11,0,"(1, 1)"
40203,X05,0,"(12, 12)"
40204,X12,1,"(0, 0)"
40204,X05,0,"(12, 12)"
40204,X11,0,"(1, 1)"
40205,X11,0,"(1, 1)"
40205,X05,0,"(12, 12)"
40205,X12,1,"(0, 0)"
40206,X12,1,"(0, 0)"
40206,X05,0,"(12, 12)"
40206,X11,0,"(1, 1)"
40207,X12,1,"(0, 0)"
40207,X05,0,"(12, 12)"
40207,X11,0,"(1, 1)"
40208,X11,0,"(1, 1)"
40208,X12,1,"(0, 0)"
40208,X05,0,"(12, 12)"
40209,X12,1,"(0, 0)"
40209,X11,0,"(1, 1)"
40209,X05,0,"(12, 12)"
40210,X11,0,"(1, 1)"
40210,X05,0,"(12, 12)"
40210,X12,1,"(0, 0)"
40211,X05,0,"(12, 12)"
40211,X11,0,"(1, 1)"
40211,X12,1,"(0, 0)"
40212,X12,1,"(0, 0)"
40212,X05,0,"(12, 12)"
40213,X05,0,"(12, 12)"
40213,X12,1,"(0, 0)"
40214,X05,0,"(12, 12)"
40214,X12,1,"(0, 0)"
40215,X05,0,"(12, 12)"
40215,X12,1,"(0, 0)"
40216,X05,0,"(12, 12)"
